Unnamed: 0,code,name,description,material,size,fragm,cultlayer,execorg,survyear,artifact_id,group_key,image_file,image_path,image_exists,object_type,material_group,integrity,part_zone,split
129,М102-2012-1-0942,Миска,Миски красноглиняной с белым ангобом внутри и снаружи профиль,Керамика,"D26 (донце), D21 (венчик) см",Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,М102-2012-1-0942,М102-2012-1-0942,М102-2012-1-0942_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-1-0942_orig.jpg,True,миска,ceramic,fragment,profile,train_inner
144,М102-2012-1-1008,Изразец,"Изразца красноглиняного с белой поливой, растительным орнаментом и монохромной растительной росписью фр-т",Керамика,"10,7+ х 6,4+ х 6+ см",Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,М102-2012-1-1008,М102-2012-1-1008,М102-2012-1-1008_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-1-1008_orig.jpg,True,изразец,ceramic,fragment,unknown,train_inner
156,М102-2012-2-0543,Блюдце,Блюдца фарфорового с белой поливой снаружи и внутри с зеленой растительной росписью в технике деколь профиля фр-т,Фарфор,"D8 (донце), D15 (край) см",Фрагмент,Дерн,ИИМК РАН,2012.0,М102-2012-2-0543,М102-2012-2-0543,М102-2012-2-0543_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-2-0543_orig.jpg,True,блюдце,porcelain,fragment,unknown,train_inner
162,М102-2012-2-1028,Тарелка,Тарелки фаянсовой с белой поливой снаружи и внутри с полихромной растительной росписью профиль,Фаянс,D24 см,Фрагмент,Битый кирпич,ИИМК РАН,2012.0,М102-2012-2-1028,М102-2012-2-1028,М102-2012-2-1028_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-2-1028_orig.jpg,True,тарелка,faience,fragment,profile,train_inner
187,М102-2012-2-1068,Плитка,Плитки напольной из каменной массы (?) с белой поливой края фр-т,Каменная масса,"10,5+ х 6,5+ х 1 см",Фрагмент,Битый кирпич,ИИМК РАН,2012.0,М102-2012-2-1068,М102-2012-2-1068,М102-2012-2-1068_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-2-1068_orig.jpg,True,плитка,stoneware,fragment,rim,train_inner
192,М102-2012-2-1086,Тарелка,Тарелки фаянсовой с белой поливой снаружи и внутри с полихромной растительной росписью донца фр-т,Фаянс,D13 см,Фрагмент,"Желтый песок, подсыпка под мостовой 1",ИИМК РАН,2012.0,М102-2012-2-1086,М102-2012-2-1086,М102-2012-2-1086_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-2-1086_orig.jpg,True,тарелка,faience,fragment,base,train_inner
194,М102-2012-2-1095,Изразец,Изразца(?) белоглиняного с белой поливой фр-т,Керамика,"5+ х 5,5 х 2,5+ см",Фрагмент,Битый кирпич,ИИМК РАН,2012.0,М102-2012-2-1095,М102-2012-2-1095,М102-2012-2-1095_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-2-1095_orig.jpg,True,изразец,ceramic,fragment,unknown,train_inner
204,М102-2012-2-1121,Блюдце,Блюдца фарфорового с белой поливой снаружи и внутри края фр-т,Фарфор,D15 см,Фрагмент,Слой под мостовой 2,ИИМК РАН,2012.0,М102-2012-2-1121,М102-2012-2-1121,М102-2012-2-1121_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-2-1121_orig.jpg,True,блюдце,porcelain,fragment,rim,train_inner
206,М102-2012-2-1123,Блюдце,Блюдца фарфорового с белой поливой снаружи и зеленой внутри донца фр-т,Фарфор,D9 см,Фрагмент,Слой под мостовой 2,ИИМК РАН,2012.0,М102-2012-2-1123,М102-2012-2-1123,М102-2012-2-1123_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-2-1123_orig.jpg,True,блюдце,porcelain,fragment,base,train_inner
208,М102-2012-2-1125,Крышка,Сосуда фарфорового с белой поливой внутри и снаружи с золотой окантовкой снаружи крышки фр-т,Фарфор,D5 см,Фрагмент,Слой под мостовой 2,ИИМК РАН,2012.0,М102-2012-2-1125,М102-2012-2-1125,М102-2012-2-1125_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-2-1125_orig.jpg,True,крышка,porcelain,fragment,lid,train_inner
216,М102-2012-2-1166,Блюдце,Блюдца (?) фарфорового с белой поливой внутри и снаружи донца клейменого фр-т,Фарфор,D9 см,Фрагмент,,ИИМК РАН,2012.0,М102-2012-2-1166,М102-2012-2-1166,М102-2012-2-1166_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-2-1166_orig.jpg,True,блюдце,porcelain,fragment,base,train_inner
223,М102-2012-2-1181,Плитка,Плитки  желтоглиняной облицовочной с голубой поливой снаружи и клеймом на внутренней стороне фр-т,Керамика,"12+ х 7,3+ х 1,1 см",Фрагмент,,ИИМК РАН,2012.0,М102-2012-2-1181,М102-2012-2-1181,М102-2012-2-1181_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-2-1181_orig.jpg,True,плитка,ceramic,fragment,unknown,train_inner
236,М102-2012-2-1264,Тарелка,Тарелки фаянсовой с белой поливой снаружи и кобальтовой геометрической росписью внутри края фр-т,Фаянс,D26 см,Фрагмент,Слой под цементным полом (мусор XIX века),ИИМК РАН,2012.0,М102-2012-2-1264,М102-2012-2-1264,М102-2012-2-1264_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-2-1264_orig.jpg,True,тарелка,faience,fragment,rim,train_inner
238,М102-2012-2-1267,Тарелка,Тарелки фаянсовой с белой поливой снаружи и кобальтовой растительно-геометрической росписью внутри края фр-т,Фаянс,D26 см,Фрагмент,Слой под цементным полом (мусор XIX века),ИИМК РАН,2012.0,М102-2012-2-1267,М102-2012-2-1267,М102-2012-2-1267_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-2-1267_orig.jpg,True,тарелка,faience,fragment,rim,train_inner
262,М102-2012-2-1313,Блюдце,Блюдца фарфорового с золотой окантовкой снаружи донца клейменого фр-т,Фарфор,D9 см,Фрагмент,,ИИМК РАН,2012.0,М102-2012-2-1313,М102-2012-2-1313,М102-2012-2-1313_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-2-1313_orig.jpg,True,блюдце,porcelain,fragment,base,train_inner
263,М102-2012-2-1314,Крышка,Сосуда фарфорового с белой поливой внутри и снаружи с золотой окантовкой крышки фр-т,Фарфор,D7 см,Фрагмент,,ИИМК РАН,2012.0,М102-2012-2-1314,М102-2012-2-1314,М102-2012-2-1314_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-2-1314_orig.jpg,True,крышка,porcelain,fragment,lid,train_inner
265,М102-2012-2-1319,Тарелка,Тарелки фаянсовой с белой поливой снаружи и внутри края фр-т,Фаянс,D25 см,Фрагмент,Слой под цементным полом (мусор XIX века),ИИМК РАН,2012.0,М102-2012-2-1319,М102-2012-2-1319,М102-2012-2-1319_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-2-1319_orig.jpg,True,тарелка,faience,fragment,rim,train_inner
267,М102-2012-2-1327,Плитка,Плитки белоглиняной облицовочной с белой поливой снаружи края фр-т,Керамика,"7,8+ х 5,4+ х 1,1 см",Фрагмент,,ИИМК РАН,2012.0,М102-2012-2-1327,М102-2012-2-1327,М102-2012-2-1327_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-2-1327_orig.jpg,True,плитка,ceramic,fragment,rim,train_inner
279,М102-2012-2-1359,Блюдце,Сосуда (блюдца?) фаянсового с прозрачной поливой внутри и снаружи края фр-т,Фаянс,D12 см,Фрагмент,Слой под цементным полом (мусор XIX века),ИИМК РАН,2012.0,М102-2012-2-1359,М102-2012-2-1359,М102-2012-2-1359_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-2-1359_orig.jpg,True,блюдце,faience,fragment,rim,train_inner
280,М102-2012-2-1360,Тарелка,Тарелки фаянсовой с прозрачной поливой внутри и снаружи края волнистого фр-т,Фаянс,D? см,Фрагмент,Слой под цементным полом (мусор XIX века),ИИМК РАН,2012.0,М102-2012-2-1360,М102-2012-2-1360,М102-2012-2-1360_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-2-1360_orig.jpg,True,тарелка,faience,fragment,rim,train_inner
281,М102-2012-2-1361,Блюдце,Блюдца фарфорового с белой поливой внутри и снаружи профиль,Фарфор,"D14,5 см",Фрагмент,Слой под цементным полом (мусор XIX века),ИИМК РАН,2012.0,М102-2012-2-1361,М102-2012-2-1361,М102-2012-2-1361_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-2-1361_orig.jpg,True,блюдце,porcelain,fragment,profile,train_inner
293,М102-2012-2-1394,Крышка,Сосуда фаянсового с полихромной растительно-геометрической росписью и следами позолоты крышка,Фаянс,D9 см,Целый,,ИИМК РАН,2012.0,М102-2012-2-1394,М102-2012-2-1394,М102-2012-2-1394_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-2-1394_orig.jpg,True,крышка,faience,whole,lid,train_inner
299,М102-2012-2-1406,Блюдце,Блюдца фаянсового профиля фр-т,Фаянс,D8 см,Фрагмент,Яма с битым кирпичом,ИИМК РАН,2012.0,М102-2012-2-1406,М102-2012-2-1406,М102-2012-2-1406_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-2-1406_orig.jpg,True,блюдце,faience,fragment,unknown,train_inner
309,М102-2012-2-1423,Миска (?),Сосуда (миски ?) красноглиняного со следами желто-зеленой поливы внутри венчика фр-т,Керамика,D24 см,Фрагмент,Светло-серая мешаная супесь,ИИМК РАН,2012.0,М102-2012-2-1423,М102-2012-2-1423,М102-2012-2-1423_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-2-1423_orig.jpg,True,миска,ceramic,fragment,rim,train_inner
334,Мич11-ш02-053,Изразец,Изразца красноглиняного с белой поливой и рельефным кобальтовым орнаментом фр-т,Керамика,,Фрагмент,Техноген,ИИМК РАН,2011.0,Мич11-ш02-053,Мич11-ш02-053,Мич11-ш02-053_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/Мич11-ш02-053_orig.jpg,True,изразец,ceramic,fragment,unknown,train_inner
335,Мич11-ш02-057,Изразец,Изразца-перемычки красноглиняного с белой поливой и кобальтовой росписью  фр-т,Керамика,,Фрагмент,Техноген,ИИМК РАН,2011.0,Мич11-ш02-057,Мич11-ш02-057,Мич11-ш02-057_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/Мич11-ш02-057_orig.jpg,True,изразец,ceramic,fragment,unknown,train_inner
367,Мич11-ш04-155,Изразец,Изразца красноглиняного с рельефным орнаментом фр-т,Керамика,,Фрагмент,Техноген,ИИМК РАН,2011.0,Мич11-ш04-155,Мич11-ш04-155,Мич11-ш04-155_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/Мич11-ш04-155_orig.jpg,True,изразец,ceramic,fragment,unknown,train_inner
387,БП11-Р01-Г01-1247,Тарелка,Тарелки фаянсовой край,Фаянс,Д23 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,БП11-Р01-Г01-1247,БП11-Р01-Г01-1247,БП11-Р01-Г01-1247_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/БП11-Р01-Г01-1247_orig.jpg,True,тарелка,faience,fragment,unknown,train_inner
420,БП11-Р01-Г03-6493,Изразец,Изразец красноглиняный изогнутый с зеленой поливой фрагментированный,Керамика,"18,5х9+х4,5+ см",Фрагмент,Горизонт 3/ щепа + гумус,,,БП11-Р01-Г03-6493,БП11-Р01-Г03-6493,БП11-Р01-Г03-6493_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/БП11-Р01-Г03-6493_orig.jpg,True,изразец,ceramic,fragment,unknown,train_inner
433,БП11-Р01-Г01-1395,Тарелка,Тарелки фаянсовой с клеймом профиль,Фаянс,Д25-14 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,БП11-Р01-Г01-1395,БП11-Р01-Г01-1395,БП11-Р01-Г01-1395_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/БП11-Р01-Г01-1395_orig.jpg,True,тарелка,faience,fragment,profile,train_inner
435,БП11-Р01-тех-0069,Крышка,Сосуда фаянсового крышка,Фаянс,"Д7,5 см",Целый,Горизонт техноген/ внутри дома,,,БП11-Р01-тех-0069,БП11-Р01-тех-0069,БП11-Р01-тех-0069_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/БП11-Р01-тех-0069_orig.jpg,True,крышка,faience,whole,lid,train_inner
439,БП11-Р01-тех-0468,Крышка,Крышки красноглиняной края фр-т,Керамика,Д30 см,Фрагмент,Горизонт техноген,,,БП11-Р01-тех-0468,БП11-Р01-тех-0468,БП11-Р01-тех-0468_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/БП11-Р01-тех-0468_orig.jpg,True,крышка,ceramic,fragment,rim,train_inner
499,БП11-Р01-Г01-1251,Тарелка,Тарелки фаянсовой с голубой поливой и полихромной росписью донца фр-т,Фаянс,Д8 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,БП11-Р01-Г01-1251,БП11-Р01-Г01-1251,БП11-Р01-Г01-1251_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/БП11-Р01-Г01-1251_orig.jpg,True,тарелка,faience,fragment,base,train_inner
502,БП11-Р01-Г03-3339,Изразец,Изразца красноглиняного с белой поливой и кобальтовой росписью фр-т,Керамика,,Фрагмент,Горизонт 3/ темно-коричневый гумусированный суглинок,,,БП11-Р01-Г03-3339,БП11-Р01-Г03-3339,БП11-Р01-Г03-3339_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/БП11-Р01-Г03-3339_orig.jpg,True,изразец,ceramic,fragment,unknown,train_inner
576,БП11-Р01-Г03-3244,Тарелка,Тарелки красноглиняной со светло-желтой и коричневой поливой внутри и полихромной росписью поливой края фр-т,Керамика,Д28 см,Фрагмент,Горизонт 3/ темно-коричневый гумусированный суглинок с включениями кирпичной крошки,,,БП11-Р01-Г03-3244,БП11-Р01-Г03-3244,БП11-Р01-Г03-3244_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/БП11-Р01-Г03-3244_orig.jpg,True,тарелка,ceramic,fragment,rim,train_inner
584,БП11-Р01-тех-0443,Изразец,Изразца красноглиняного орнаментированного с белой поливой и желтой росписью фр-т,Керамика,,Фрагмент,Горизонт техноген,,,БП11-Р01-тех-0443,БП11-Р01-тех-0443,БП11-Р01-тех-0443_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/БП11-Р01-тех-0443_orig.jpg,True,изразец,ceramic,fragment,unknown,train_inner
632,БП11-Р01-Г01-1055,Изразец,Изразец (карниз) красноглиняный с белой поливой фрагментированный,Керамика,"17х11,5+х6 см",Целый,Горизонт 1,,,БП11-Р01-Г01-1055,БП11-Р01-Г01-1055,БП11-Р01-Г01-1055_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/БП11-Р01-Г01-1055_orig.jpg,True,изразец,ceramic,whole,unknown,train_inner
649,БП11-Р01-Г01-1397,Тарелка,Тарелки фаянсовой края фр-т,Фаянс,Д33 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,БП11-Р01-Г01-1397,БП11-Р01-Г01-1397,БП11-Р01-Г01-1397_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/БП11-Р01-Г01-1397_orig.jpg,True,тарелка,faience,fragment,rim,train_inner
664,БП11-Р01-тех-0381,Тарелка,Тарелки красноглиняной с коричневой поливой снаружи и зеленой поливой внутри с рельефным орнаментом края фр-т,Керамика,,Фрагмент,Горизонт техноген,,,БП11-Р01-тех-0381,БП11-Р01-тех-0381,БП11-Р01-тех-0381_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/БП11-Р01-тех-0381_orig.jpg,True,тарелка,ceramic,fragment,rim,train_inner
709,БП11-Р01-тех-0421,Тарелка,Тарелки красноглиняной с росписью профиль,Керамика,Д25 см,Фрагмент,Горизонт техноген,,,БП11-Р01-тех-0421,БП11-Р01-тех-0421,БП11-Р01-тех-0421_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/БП11-Р01-тех-0421_orig.jpg,True,тарелка,ceramic,fragment,profile,train_inner
739,БП11-Р01-Г01-1405,Тарелка,Тарелки фаянсовой с зеленой росписью края фр-т,Фаянс,Д16 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,БП11-Р01-Г01-1405,БП11-Р01-Г01-1405,БП11-Р01-Г01-1405_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/БП11-Р01-Г01-1405_orig.jpg,True,тарелка,faience,fragment,rim,train_inner
742,БП11-Р01-Г01-1192,Изразец,Изразца углового красноглиняного с белой поливой фр-т,Керамика,,Фрагмент,Горизонт 1/ серо-желтая мешаная супесь,,,БП11-Р01-Г01-1192,БП11-Р01-Г01-1192,БП11-Р01-Г01-1192_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/БП11-Р01-Г01-1192_orig.jpg,True,изразец,ceramic,fragment,unknown,train_inner
758,БП11-Р01-Г01-1197,Крышка,Крышка белого металла на бутылку с изображением герба фрагментированная,Белый металл,"Д3, толщина 0,1 см",Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок с кирпичной крошкой,,,БП11-Р01-Г01-1197,БП11-Р01-Г01-1197,БП11-Р01-Г01-1197_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/БП11-Р01-Г01-1197_orig.jpg,True,крышка,metal,fragment,lid,train_inner
776,БП11-Р01-Г01-1396,Тарелка,Тарелки фаянсовой края фр-т,Фаянс,Д25 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,БП11-Р01-Г01-1396,БП11-Р01-Г01-1396,БП11-Р01-Г01-1396_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/БП11-Р01-Г01-1396_orig.jpg,True,тарелка,faience,fragment,rim,train_inner
800,БП11-Р01-Г01-1248,Тарелка,Тарелки фаянсовой с клеймом донце,Фаянс,Д11 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,БП11-Р01-Г01-1248,БП11-Р01-Г01-1248,БП11-Р01-Г01-1248_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/БП11-Р01-Г01-1248_orig.jpg,True,тарелка,faience,fragment,base,train_inner
813,БП11-Р01-тех-0060,Изразец,Изразца (карниз) красноглиняного с белой поливой фр-т,Керамика,"16,8+х12х8,3 см",Фрагмент,Горизонт техноген/ внутри дома,,,БП11-Р01-тех-0060,БП11-Р01-тех-0060,БП11-Р01-тех-0060_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/БП11-Р01-тех-0060_orig.jpg,True,изразец,ceramic,fragment,unknown,train_inner
866,БП11-Р01-Г03-6484,Блюдце,Блюдца фарфорового с клеймом профиль,Фаянс,Д10-14 см,Фрагмент,Горизонт 3/ щепа + гумус,,,БП11-Р01-Г03-6484,БП11-Р01-Г03-6484,БП11-Р01-Г03-6484_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/БП11-Р01-Г03-6484_orig.jpg,True,блюдце,faience,fragment,profile,train_inner
895,БП11-Р01-тех-0394,Тарелка,Тарелки фаянсовой края фр-т,Фаянс,Д30 см,Фрагмент,Горизонт техноген,,,БП11-Р01-тех-0394,БП11-Р01-тех-0394,БП11-Р01-тех-0394_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/БП11-Р01-тех-0394_orig.jpg,True,тарелка,faience,fragment,rim,train_inner
909,Кроп-2013-151,Блюдце,Блюдца фарфорового с декольным полихромным орнаментом внутри профиля фр-т,Фарфор,Двен=16; Ддон=9 см,Фрагмент,,,2013.0,Кроп-2013-151,Кроп-2013-151,Кроп-2013-151_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/Кроп-2013-151_orig.jpg,True,блюдце,porcelain,fragment,unknown,train_inner
910,Кроп-2013-152,Тарелка,Тарелки фарфоровой с полихромным рельефным пейзажным орнаментом внутри донца фр-т,Фарфор,Д=16 см,Фрагмент,,,2013.0,Кроп-2013-152,Кроп-2013-152,Кроп-2013-152_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/Кроп-2013-152_orig.jpg,True,тарелка,porcelain,fragment,base,train_inner
916,Кроп-2013-158,Блюдце,Блюдца фарфорового с геометрическим орнаментом внутри и клейменым донцем профиля фр-т,Фарфор,Двен=14; Ддон=8 см,Фрагмент,,,2013.0,Кроп-2013-158,Кроп-2013-158,Кроп-2013-158_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/Кроп-2013-158_orig.jpg,True,блюдце,porcelain,fragment,base,train_inner
917,Кроп-2013-159,Блюдце,"Блюдца фарфорового с декольным орнаментом внутри и клеймом на донце, профиля фр-т",Фарфор,"Двен=15; Ддон=8,5 см",Фрагмент,,,2013.0,Кроп-2013-159,Кроп-2013-159,Кроп-2013-159_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/Кроп-2013-159_orig.jpg,True,блюдце,porcelain,fragment,base,train_inner
